src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
MUTAG,MUTAG,graph2vec,16,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,16,0,0.16666666666666666,0.047961630695443645,0.49223,1.0,1.0,1.0,0.8333333333333334,0.9520383693045563,0.50777
MUTAG,IMDB-MULTI,graph2vec,16,0,0.31533333333333335,0.2507560490904333,0.47614500000000004,1.0,1.0,1.0,0.6846666666666666,0.7492439509095667,0.523855
ENZYMES,MUTAG,graph2vec,16,0,0.005319148936170213,0.003968253968253968,0.468952380952381,0.8666666666666667,0.8666794612253902,0.98371,0.8613475177304964,0.8627112072571362,0.514757619047619
ENZYMES,ENZYMES,graph2vec,16,0,0.8666666666666667,0.8666794612253902,0.98371,0.8666666666666667,0.8666794612253902,0.98371,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,16,0,0.08066666666666666,0.06320295739092617,,0.8666666666666667,0.8666794612253902,0.98371,0.786,0.803476503834464,
IMDB-MULTI,MUTAG,graph2vec,16,0,0.39361702127659576,0.2626859730308006,0.46031746031746035,0.724,0.7237098445538862,0.8896206666666667,0.3303829787234042,0.4610238715230856,0.4293032063492064
IMDB-MULTI,ENZYMES,graph2vec,16,0,0.16333333333333333,0.0468675274988044,0.5374866666666667,0.724,0.7237098445538862,0.8896206666666667,0.5606666666666666,0.6768423170550818,0.35213400000000006
IMDB-MULTI,IMDB-MULTI,graph2vec,16,0,0.724,0.7237098445538862,0.8896206666666667,0.724,0.7237098445538862,0.8896206666666667,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,16,0,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,16,0,0.13333333333333333,0.06430748071544544,0.407995,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.8347517730496454,0.8992913317280811,0.5897827777777778
MUTAG,IMDB-MULTI,netlsd,16,0,0.2886666666666667,0.228254529100101,0.45976400000000006,0.9680851063829787,0.9635988124435265,0.9977777777777778,0.6794184397163121,0.7353442833434255,0.5380137777777777
ENZYMES,MUTAG,netlsd,16,0,0.34574468085106386,0.16330320663612727,0.652,0.9333333333333333,0.9333337406293194,0.9955133333333333,0.5875886524822695,0.7700305339931921,0.3435133333333332
ENZYMES,ENZYMES,netlsd,16,0,0.9333333333333333,0.9333337406293194,0.9955133333333333,0.9333333333333333,0.9333337406293194,0.9955133333333333,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,16,0,0.268,0.14009091441783492,,0.9333333333333333,0.9333337406293194,0.9955133333333333,0.6653333333333333,0.7932428262114845,
IMDB-MULTI,MUTAG,netlsd,16,0,0.42021276595744683,0.31395797185270874,0.6292063492063492,0.6173333333333333,0.6112285223188852,0.808035,0.19712056737588646,0.2972705504661765,0.17882865079365073
IMDB-MULTI,ENZYMES,netlsd,16,0,0.14166666666666666,0.09051003032647313,0.45850333333333343,0.6173333333333333,0.6112285223188852,0.808035,0.4756666666666666,0.5207184919924122,0.3495316666666665
IMDB-MULTI,IMDB-MULTI,netlsd,16,0,0.6173333333333333,0.6112285223188852,0.808035,0.6173333333333333,0.6112285223188852,0.808035,0.0,0.0,0.0
MUTAG,MUTAG,gin,16,0,0.9202127659574468,0.9121358467050943,0.9639365079365079,0.9202127659574468,0.9121358467050943,0.9639365079365079,0.0,0.0,0.0
MUTAG,ENZYMES,gin,16,0,0.17166666666666666,0.0690673416168124,0.512935,0.9202127659574468,0.9121358467050943,0.9639365079365079,0.7485460992907802,0.8430685050882819,0.45100150793650784
MUTAG,IMDB-MULTI,gin,16,0,0.3333333333333333,0.16666666666666666,0.4643105,0.9202127659574468,0.9121358467050943,0.9639365079365079,0.5868794326241136,0.7454691800384277,0.49962600793650785
ENZYMES,MUTAG,gin,16,0,0.3351063829787234,0.250996015936255,0.13320634920634922,0.5333333333333333,0.5277701564760421,0.8420966666666665,0.1982269503546099,0.2767741405397871,0.7088903174603173
ENZYMES,ENZYMES,gin,16,0,0.5333333333333333,0.5277701564760421,0.8420966666666665,0.5333333333333333,0.5277701564760421,0.8420966666666665,0.0,0.0,0.0
