dataset,graph,method,nodes_to_flip,num_nodes
MUTAG,0,GIN,17,17
MUTAG,0,Graph2Vec,17,17
MUTAG,0,NetLSD,17,17
MUTAG,1,GIN,13,13
MUTAG,1,Graph2Vec,13,13
MUTAG,1,NetLSD,13,13
MUTAG,2,GIN,13,13
MUTAG,2,Graph2Vec,13,13
MUTAG,2,NetLSD,13,13
MUTAG,3,GIN,19,19
MUTAG,3,Graph2Vec,19,19
MUTAG,3,NetLSD,19,19
MUTAG,4,GIN,11,11
MUTAG,4,Graph2Vec,11,11
MUTAG,4,NetLSD,11,11
MUTAG,5,GIN,28,28
MUTAG,5,Graph2Vec,28,28
MUTAG,5,NetLSD,28,28
MUTAG,6,GIN,16,16
MUTAG,6,Graph2Vec,16,16
MUTAG,6,NetLSD,16,16
MUTAG,7,GIN,20,20
MUTAG,7,Graph2Vec,20,20
MUTAG,7,NetLSD,20,20
MUTAG,8,GIN,12,12
MUTAG,8,Graph2Vec,12,12
MUTAG,8,NetLSD,12,12
MUTAG,9,GIN,17,17
MUTAG,9,Graph2Vec,17,17
MUTAG,9,NetLSD,17,17
ENZYMES,0,GIN,1,37
ENZYMES,0,Graph2Vec,1,37
ENZYMES,0,NetLSD,1,37
ENZYMES,1,GIN,1,23
ENZYMES,1,Graph2Vec,1,23
ENZYMES,1,NetLSD,1,23
ENZYMES,2,GIN,1,25
ENZYMES,2,Graph2Vec,1,25
ENZYMES,2,NetLSD,1,25
ENZYMES,3,GIN,1,24
ENZYMES,3,Graph2Vec,1,24
ENZYMES,3,NetLSD,1,24
ENZYMES,4,GIN,1,23
ENZYMES,4,Graph2Vec,1,23
ENZYMES,4,NetLSD,1,23
ENZYMES,5,GIN,1,24
ENZYMES,5,Graph2Vec,1,24
ENZYMES,5,NetLSD,1,24
ENZYMES,6,GIN,1,26
ENZYMES,6,Graph2Vec,1,26
ENZYMES,6,NetLSD,1,26
ENZYMES,7,GIN,1,88
ENZYMES,7,Graph2Vec,1,88
ENZYMES,7,NetLSD,1,88
ENZYMES,8,GIN,1,23
ENZYMES,8,Graph2Vec,1,23
ENZYMES,8,NetLSD,1,23
ENZYMES,9,GIN,1,32
ENZYMES,9,Graph2Vec,1,32
ENZYMES,9,NetLSD,1,32
IMDB-MULTI,0,GIN,7,7
IMDB-MULTI,0,Graph2Vec,7,7
IMDB-MULTI,0,NetLSD,7,7
IMDB-MULTI,1,GIN,13,13
IMDB-MULTI,1,Graph2Vec,13,13
IMDB-MULTI,1,NetLSD,13,13
IMDB-MULTI,2,GIN,7,7
IMDB-MULTI,2,Graph2Vec,7,7
IMDB-MULTI,2,NetLSD,7,7
IMDB-MULTI,3,GIN,7,7
IMDB-MULTI,3,Graph2Vec,7,7
IMDB-MULTI,3,NetLSD,7,7
IMDB-MULTI,4,GIN,10,10
IMDB-MULTI,4,Graph2Vec,10,10
IMDB-MULTI,4,NetLSD,10,10
IMDB-MULTI,5,GIN,8,8
IMDB-MULTI,5,Graph2Vec,8,8
IMDB-MULTI,5,NetLSD,8,8
IMDB-MULTI,6,GIN,7,7
IMDB-MULTI,6,Graph2Vec,7,7
IMDB-MULTI,6,NetLSD,7,7
IMDB-MULTI,7,GIN,8,8
IMDB-MULTI,7,Graph2Vec,8,8
IMDB-MULTI,7,NetLSD,8,8
IMDB-MULTI,8,GIN,13,13
IMDB-MULTI,8,Graph2Vec,13,13
IMDB-MULTI,8,NetLSD,13,13
IMDB-MULTI,9,GIN,22,22
IMDB-MULTI,9,Graph2Vec,22,22
IMDB-MULTI,9,NetLSD,22,22
